company_id,company_name,also_known_as,plant_name,plot_address,area_block,pincode,geo_lat,geo_lng,google_maps_url,industry_category,products_services,tier,company_size_signal,phone_primary,phone_alt,whatsapp,email,website,contact_person_name,contact_person_role,decision_maker_confidence,gstin,cin,company_status,directors,year_established,employee_estimate,processes_likely,electrode_likely,volume_signal,current_supplier_known,pitch_angle,priority_score,priority_label,data_source,last_verified_date,verification_status,outreach_status,notes,assigned_to
BHO-001,Advance Preci-Tech,,J-166 plant,"J Block, Plot No. 166, MIDC, Bhosari, Pune - 411026",J Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Advance+Preci-Tech+J+Block,+Plot+No.+166,+MIDC,+Bhosari,+Pune+-+411026",Heavy fabrication,Heavy pressure vessel fabrication; precision engineering fab,1,SME,+91 97669 15151,,+91 9197669151,enquiry@advanceprecitech.com,https://advanceprecitech.com,,Purchase,Med,,,,,,,SMAW;GMAW,E7018;E6013;E308L,High,Unknown,Heavy pressure vessel fab (up to 200T) — high E7018 demand,5,Hot,Website,2026-09-03,Phone-ok,Not contacted,,
BHO-002,Brahma Techno Engineering,Kalpak Engineers,T Block,"Plot No. BGP 111, General T Block, Bhosari MIDC, Pune - 411026",T Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Brahma+Techno+Engineering+Plot+No.+BGP+111,+General+T+Block,+Bhosari+MIDC,+Pune+-+411026",Steel fabrication,Steel structures; frames; general metal fabrication,1,SME,,,,,https://www.indiamart.com/kalpak-engineers/,Nitin Sawant,Purchase,Med,,,,,2008,,SMAW;GTAW,E7018;E6013;E308L,High,Unknown,"Boilers, tanks, heat exchangers, SS fab — E7018 primary",5,Hot,IndiaMART,,Unverified,Not contacted,Also listed as Kalpak Engineers on IndiaMART,
BHO-003,Datsons Engineering Works Pvt Ltd,Datsons,W-13/14/15 S Block (Unit-1),"Plot No. W-13, 14, 15, S Block, MIDC, Bhosari, Pune - 411026",S Block / W,411026,,,"https://www.google.com/maps/search/?api=1&query=Datsons+Engineering+Works+Pvt+Ltd+Plot+No.+W-13,+14,+15,+S+Block,+MIDC,+Bhosari,+Pune+-+411026",Sheet-metal fabrication,Auto sheet-metal; canopies; fabricated auto components,1,Large,+91 20 27127414,+91 90110 97737,+91 9120271274,,https://www.datsonsengg.com,,Purchase,Med,,,,,1983,,SMAW;GMAW,E6013;E7018,High,Unknown,Auto sheet-metal & canopies — E6013 volume + E7018 structural,5,Hot,Website,2026-09-03,Phone-ok,Not contacted,Unit 1 Bhosari; Unit 2 Chakan; +91 20 27120909 also listed,
BHO-004,Diamond Fabrication I Pvt Ltd,Diamond Fabrications India,Bhosari MIDC,"Bhosari MIDC, Pune - 411026",Bhosari MIDC,411026,,,"https://www.google.com/maps/search/?api=1&query=Diamond+Fabrication+I+Pvt+Ltd+Bhosari+MIDC,+Pune+-+411026",Heavy fabrication,Heavy steel fabrication; structural & pressure parts; welded assemblies,1,SME,,,,,https://www.indiamart.com/diamond-fabrications-india/,Aseem S. Kogekar,Owner,Med,,,,Subhash Anant Kogekar; Aseem S. Kogekar,,,SMAW;GTAW,E7018;E6013;E308L,High,Unknown,Process equipment & pressure vessels — coded E7018/E308L,5,Hot,IndiaMART,,Unverified,Not contacted,CEO Aseem S. Kogekar; MS/SS/exotic fab,
BHO-005,Essem Engineers & Fabricators,ESSEM,Sector 10,"Sector No. 10, Plot No. 147, PCNTDA, Bhosari, Pune - 411026",Sector 10,411026,,,"https://www.google.com/maps/search/?api=1&query=Essem+Engineers+&+Fabricators+Sector+No.+10,+Plot+No.+147,+PCNTDA,+Bhosari,+Pune+-+411026",Sheet-metal fabrication,Sheet-metal components; enclosures; canopies; light fab,1,SME,+91 94220 14693,+91 80875 28594,+91 9194220146,essemengineers1@gmail.com,https://essemengineersandfab.com,Madhukar Baloji,Owner,High,27AICPB4333R1Z4,,,,2002,,SMAW;GMAW;Cutting,E6013;E7018;E308L;Cutting,Med,Unknown,Laser + SS/MS fab & MH equipment — E6013/E7018 + cutting rods,5,Hot,Website,2026-09-03,Phone-ok,Not contacted,GSTIN 27AICPB4333R1Z4,
BHO-006,Fabri-Tek Engineers,Fabritek,S-151 Bhosari (+ Chakan Unit-II),"S-151, M.I.D.C. Bhosari, Pune - 411026",S Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Fabri-Tek+Engineers+S-151,+M.I.D.C.+Bhosari,+Pune+-+411026",Boiler/tank manufacturers,ASME pressure vessels; storage tanks; process equipment,1,Large,+91 83088 15577,+91 98814 98707,+91 9183088155,info@fabritekengineers.com,https://fabritekengineers.com,Mr. Baba Kolase / Mr. Kunal Raut,Owner,High,,,,,,,SMAW;GTAW,E7018;E6013;E308L,High,Unknown,ASME pressure vessels & tanks — E7018 + E308L coded welding,5,Hot,Website,2026-09-03,Phone-ok,Not contacted,Directors listed on contact page; also Unit-II Chakan,
BHO-007,Fabtech Projects & Engineers Ltd,Fabtech,Bhosari MIDC,"Bhosari MIDC, Pune - 411026",Bhosari MIDC,411026,,,"https://www.google.com/maps/search/?api=1&query=Fabtech+Projects+&+Engineers+Ltd+Bhosari+MIDC,+Pune+-+411026",Heavy fabrication,Heavy steel fabrication; structural & pressure parts; welded assemblies,1,Large,,,,,https://www.indiamart.com/fabtech-projects-engineers-limited/,D Thorat,Purchase,Low,,,,,,,SMAW;GTAW,E7018;E6013;E308L,High,Unknown,EPC process equipment — high E7018/E308L electrode consumption,5,Hot,IndiaMART,,Unverified,Not contacted,"Pressure vessels, columns, heat exchangers; large turnover band",
BHO-008,Ganesh Engineering Works,,S Block,"S-188 MIDC Bhosari, Near Color Bond company, Pune - 411026",S Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Ganesh+Engineering+Works+S-188+MIDC+Bhosari,+Near+Color+Bond+company,+Pune+-+411026",Sheet-metal fabrication,Sheet-metal components; enclosures; canopies; light fab,1,SME,+91 98900 81081,+91 20 27120876,+91 9198900810,sushant@ganeshengg.co.in,http://www.sme.in/ganeshengineering/,Mr. Sushant Shah,Owner,High,,,,,,,SMAW;GMAW,E6013;E7018,Med,Unknown,Auto sheet & fabricated components — Bharatweld E6013 cartons,5,Hot,Website,2026-09-03,Phone-ok,Not contacted,"Supplies Tata Motors, Force Motors, etc.",
BHO-009,Jaisons Engineers & Consultants,Jaisons Engineers,T-48 Gawali Matha plant,"Plot No. 48, T Block, Near Rose Garden, Gawali Matha, MIDC Bhosari, Pune - 411026",T Block,411026,,,"https://www.google.com/maps/search/?api=1&query=Jaisons+Engineers+&+Consultants+Plot+No.+48,+T+Block,+Near+Rose+Garden,+Gawali+Matha,+MIDC+Bhosari,+Pune+-+411026",Heavy fabrication,Heavy fabrication; PEB structures; boiler manufacturing; CNC/laser/plasma cutting; welding & painting,1,SME,+91 99701 99457,+91 84591 18862,+91 9199701994,jaisonsengineers20@gmail.com,https://www.jaisonsglobal.com,Sajid Shaikh,Purchase,Med,,,,,2020,,SMAW;GMAW;GTAW;Cutting,E7018;E6013;E308L;Cutting,High,Unknown,Heavy fab + PEB + boiler works — Bharatweld E7018 + cutting rods,5,Hot,Website,2026-09-03,Phone-ok,Not contacted,"Also sales@jaisonsglobal.com; CNC/laser/plasma cutting, PEB, welding & painting",
BHO-010,MACHINESPACE India Pvt Ltd,Machine Space,Sector 7 Plot 76,"Plot No. 76, Sector No. 7, PCNTDA, MIDC Bhosari, Pune - 411026",Sector 7,411026,,,"https://www.google.com/maps/search/?api=1&query=MACHINESPACE+India+Pvt+Ltd+Plot+No.+76,+Sector+No.+7,+PCNTDA,+MIDC+Bhosari,+Pune+-+411026",Sheet-metal fabrication,TIG/MIG welding (Al & SS); custom enclosures & cabinets; CNC/VMC precision parts; structural fabrication,1,SME,+91 95958 58695,,+91 9195958586,info@machinespace.in,https://www.machinespace.in,Sadik Mujavar,Director,High,,,,,2020,,GTAW;GMAW;SMAW,E6013;E7018;E308L,High,Unknown,Certified TIG/MIG Al & SS welding — E308L + Al specialty; MS E6013/E7018,5,Hot,Website,2026-09-03,Phone-ok,Not contacted,"Enclosures, cabinets, defence/aerospace components; WPS/PQR certified welding",
